input,CRA-Index,time
A,3.0,28630
A,1.8333333333333333,19285
A,3.0,22311
A,3.0,18301
A,3.0,22004
A,3.0,17437
A,3.0,17682
A,3.0,16099
A,3.0,21705
A,3.0,21043
A,3.0,20613
A,3.0,21713
A,3.0,19809
A,3.0,20715
A,3.0,21482
B,1.9,25402
B,3.75,52064
B,2.2666666666666675,36891
B,4.0,54314
B,3.833333333333333,58494
B,2.25,25674
B,3.833333333333333,76867
B,3.833333333333333,49772
B,3.666666666666666,69578
B,3.5,52604
B,3.833333333333333,60992
B,1.7996031746031746,27607
B,3.833333333333334,46416
B,3.833333333333333,55476
B,3.833333333333333,44990
C,2.054195804195804,122971
C,2.4022727272727273,67154
C,2.3740259740259737,82985
C,1.698306595365419,37771
C,2.4960227272727273,61365
C,0.8277777777777775,55312
C,1.9385521885521886,47216
C,2.9090277777777778,73415
C,2.25952380952381,68981
C,2.7523809523809524,92678
C,1.759259259259259,25587
C,2.6032467532467534,78458
C,2.0929292929292926,51762
C,1.787121212121212,66511
C,2.273484848484849,104688
D,2.451872925557136,196536
D,2.8160818713450295,208519
D,1.907922628510864,153130
D,3.340881217351805,201811
D,3.0744206773618536,300354
D,3.666221033868092,297983
D,2.6650356916960334,318604
D,3.1458683473389355,327372
D,3.385249554367201,408612
D,3.656682027649769,478160
D,4.239208259061201,570323
D,3.5706762705082027,355640
D,3.922385620915032,284073
D,1.7387847446670976,200243
D,2.8452900985663083,337774
E,5.444318478209323,3124626
E,5.35913257321708,2152488
E,6.2350988282637,3582534
E,3.0514716929549213,1414283
E,2.326982918048815,1201772
E,2.709196156629142,2345201
E,4.60750469124567,2252583
E,3.0725790657074157,1539928
E,5.1257641826189335,4111229
E,4.059259547530095,2076217
E,7.033660803487633,2919201
E,6.744352051379558,3635130
E,5.930931791730777,4444838
E,4.440613774309426,1887467
E,5.633317805383022,2094872
